SITE ID II,SITEID,SITENAME,LONG,LAT,AREA,Sales Area,PRB 1,PRB 2,PRB 3,MAX PRB,EUT 1,EUT 2,EUT 3,MIN EUT
14WNG020MACRO,14WNG020,SELOGIRI_ST,110.869423,-7.777771,CENTRAL JAVA,SOLO OUTER,  65.57 ,  63.90 ,  88.83 ,  88.83 ,  5.32 ,  12.40 ,  2.71 ,  2.71 
14WNO037MACRO,14WNO037,SELOMERTO_MT,109.883003,-7.417889,CENTRAL JAVA,MAGELANG,  62.34 ,  57.61 ,  96.68 ,  96.68 ,  14.13 ,  13.90 ,  2.74 ,  2.74 
14WNO015MACRO,14WNO015,SELOMERTO_WNO_RT,109.890991,-7.397712,CENTRAL JAVA,MAGELANG,  56.97 ,  85.37 ,  95.82 ,  95.82 ,  9.55 ,  3.56 ,  3.57 ,  3.56 
14UNR062MACRO,14UNR062,SELONGISOR,110.433998,-7.39551,CENTRAL JAVA,SEMARANG OUTER,  95.64 ,  78.89 ,  98.32 ,  98.32 ,  2.20 ,  8.91 ,  0.60 ,  0.60 
14BAG084MACRO,14BAG084,SELOPJNGBRT_BAG_ST,109.847397,-7.06381,CENTRAL JAVA,PEKALONGAN,  68.12 ,  73.71 ,  17.04 ,  73.71 ,  10.30 ,  10.68 ,  45.64 ,  10.30 
14MKD137MACRO,14MKD137,SEMALI_MKD_MT,110.179543,-7.49723,CENTRAL JAVA,MAGELANG,  60.50 ,  16.72 ,  79.42 ,  79.42 ,  9.36 ,  29.94 ,  3.31 ,  3.31 
14BJN050MACRO,14BJN050,SEMAMPIR_BJN_ST,109.662666,-7.39886,CENTRAL JAVA,BANJARNEGARA,  50.11 ,  45.98 ,  32.40 ,  50.11 ,  19.59 ,  26.38 ,  41.59 ,  19.59 
14SMG117MACRO,14SMG117,SEMARANGINDAH,110.396004,-6.97731,CENTRAL JAVA,SEMARANG INNER,  37.17 ,  16.19 ,  31.73 ,  37.17 ,  28.46 ,  38.31 ,  33.11 ,  28.46 
14UNR051MACRO,14UNR051,SEMBIR,110.500999,-7.30584,CENTRAL JAVA,SEMARANG OUTER,  86.28 ,  57.95 ,  54.27 ,  86.28 ,  1.83 ,  16.09 ,  25.11 ,  1.83 
14KLT041MACRO,14KLT041,SEMBUNG,110.615997,-7.74953,CENTRAL JAVA,SOLO INNER,  95.06 ,  94.01 ,  92.99 ,  95.06 ,  1.38 ,  1.00 ,  2.35 ,  1.00 
14SMG265MACRO,14SMG265,SEMERUBRT_PL,110.415001,-7.026,CENTRAL JAVA,SEMARANG INNER,  60.01 ,  27.84 ,  10.01 ,  60.01 ,  10.11 ,  27.65 ,  27.94 ,  10.11 
